"churn","levels","n","N","churn_perc","varname"
1,"A",2773,10923,0.25386798498581,"crclscod"
1,"A2",169,499,0.338677354709419,"crclscod"
1,"A3",1,2,0.5,"crclscod"
1,"AA",5983,24025,0.249032258064516,"crclscod"
1,"B",700,2644,0.264750378214826,"crclscod"
1,"B2",15,66,0.227272727272727,"crclscod"
1,"BA",2064,8124,0.254062038404727,"crclscod"
1,"C",221,978,0.225971370143149,"crclscod"
1,"C2",21,116,0.181034482758621,"crclscod"
1,"C5",10,67,0.149253731343284,"crclscod"
1,"CA",1223,5649,0.216498495308904,"crclscod"
1,"CC",4,17,0.235294117647059,"crclscod"
1,"CY",21,118,0.177966101694915,"crclscod"
1,"D",37,173,0.213872832369942,"crclscod"
1,"D2",1,4,0.25,"crclscod"
1,"D4",36,224,0.160714285714286,"crclscod"
1,"D5",6,98,0.0612244897959184,"crclscod"
1,"DA",519,2535,0.204733727810651,"crclscod"
1,"E",50,250,0.2,"crclscod"
1,"E2",1,19,0.0526315789473684,"crclscod"
1,"E4",73,651,0.112135176651306,"crclscod"
1,"EA",844,4620,0.182683982683983,"crclscod"
1,"EC",1,32,0.03125,"crclscod"
1,"EF",1,3,0.333333333333333,"crclscod"
1,"EM",11,34,0.323529411764706,"crclscod"
1,"G",39,150,0.26,"crclscod"
1,"GA",51,191,0.267015706806283,"crclscod"
1,"GY",6,20,0.3,"crclscod"
1,"I",34,156,0.217948717948718,"crclscod"
1,"IF",3,10,0.3,"crclscod"
1,"J",26,126,0.206349206349206,"crclscod"
1,"JF",27,109,0.247706422018349,"crclscod"
1,"K",18,66,0.272727272727273,"crclscod"
1,"L",1,5,0.2,"crclscod"
1,"M",30,114,0.263157894736842,"crclscod"
1,"O",5,22,0.227272727272727,"crclscod"
1,"P1",1,3,0.333333333333333,"crclscod"
1,"TP",2,3,0.666666666666667,"crclscod"
1,"U",69,320,0.215625,"crclscod"
1,"U1",9,44,0.204545454545455,"crclscod"
1,"V1",7,50,0.14,"crclscod"
1,"W",11,68,0.161764705882353,"crclscod"
1,"Y",4,26,0.153846153846154,"crclscod"
1,"Z",34,130,0.261538461538462,"crclscod"
1,"Z1",2,7,0.285714285714286,"crclscod"
1,"Z2",1,4,0.25,"crclscod"
1,"Z4",32,181,0.176795580110497,"crclscod"
1,"Z5",4,42,0.0952380952380952,"crclscod"
1,"ZA",562,2294,0.244986922406277,"crclscod"
1,"ZY",19,76,0.25,"crclscod"
1,"N",14041,56140,0.250106875667973,"asl_flag"
1,"Y",1741,9957,0.174851863010947,"asl_flag"
1,"C",2638,11283,0.233803066560312,"prizm_social_one"
1,"R",800,3112,0.25706940874036,"prizm_social_one"
1,"S",4978,21277,0.23396155473046,"prizm_social_one"
1,"T",2489,9853,0.25261341723333,"prizm_social_one"
1,"U",3710,15830,0.234365129500948,"prizm_social_one"
1,NA,1167,4742,0.246098692534795,"prizm_social_one"
1,"ATLANTIC SOUTH AREA",943,4071,0.231638418079096,"area"
1,"CALIFORNIA NORTH AREA",973,3803,0.255850644228241,"area"
1,"CENTRAL/SOUTH TEXAS AREA",623,2865,0.217452006980803,"area"
1,"CHICAGO AREA",831,3424,0.242698598130841,"area"
1,"DALLAS AREA",872,3652,0.238773274917853,"area"
1,"DC/MARYLAND/VIRGINIA AREA",1030,4573,0.225235075442817,"area"
1,"GREAT LAKES AREA",718,3151,0.227864170104729,"area"
1,"HOUSTON AREA",639,2918,0.218985606579849,"area"
1,"LOS ANGELES AREA",1025,4292,0.238816402609506,"area"
1,"MIDWEST AREA",938,4370,0.214645308924485,"area"
1,"NEW ENGLAND AREA",909,3538,0.256924816280384,"area"
1,"NEW YORK CITY AREA",1789,7334,0.243932369784565,"area"
1,"NORTH FLORIDA AREA",695,2783,0.249730506647503,"area"
1,"NORTHWEST/ROCKY MOUNTAIN AREA",768,2633,0.291682491454615,"area"
1,"OHIO AREA",692,3148,0.219822109275731,"area"
1,"PHILADELPHIA AREA",393,1600,0.245625,"area"
1,"SOUTH FLORIDA AREA",581,2133,0.272386310360994,"area"
1,"SOUTHWEST AREA",978,3963,0.246782740348221,"area"
1,"TENNESSEE AREA",381,1828,0.208424507658643,"area"
1,NA,4,18,0.222222222222222,"area"
1,"N",13334,56965,0.234073553936628,"refurb_new"
1,"R",2448,9132,0.268068331143233,"refurb_new"
1,"UNKW",26,175,0.148571428571429,"hnd_webcap"
1,"WC",2500,8515,0.293599530240752,"hnd_webcap"
1,"WCMB",11368,51390,0.221210352208601,"hnd_webcap"
1,NA,1888,6017,0.313777630048197,"hnd_webcap"
1,"A",828,3448,0.240139211136891,"marital"
1,"B",1154,4730,0.243974630021142,"marital"
1,"M",4811,20644,0.233045921333075,"marital"
1,"S",2633,11869,0.221838402561294,"marital"
1,"U",6109,24258,0.251834446368208,"marital"
1,NA,247,1148,0.215156794425087,"marital"
1,"B",247,861,0.286875725900116,"ethnic"
1,"C",16,183,0.087431693989071,"ethnic"
1,"D",152,555,0.273873873873874,"ethnic"
1,"F",351,1407,0.249466950959488,"ethnic"
1,"G",981,3954,0.248103186646434,"ethnic"
1,"H",2184,8856,0.246612466124661,"ethnic"
1,"I",620,2471,0.250910562525293,"ethnic"
1,"J",471,1834,0.256815703380589,"ethnic"
1,"M",20,89,0.224719101123595,"ethnic"
1,"N",5190,22239,0.233373802778902,"ethnic"
1,"O",784,2539,0.308782985427334,"ethnic"
1,"P",65,368,0.176630434782609,"ethnic"
1,"R",159,648,0.24537037037037,"ethnic"
1,"S",2003,8472,0.236425873465534,"ethnic"
1,"U",1736,7194,0.241312204614957,"ethnic"
1,"X",13,71,0.183098591549296,"ethnic"
1,"Z",543,3208,0.16926433915212,"ethnic"
1,NA,247,1148,0.215156794425087,"ethnic"
1,"New",6517,27830,0.234171757096658,"car_buy"
1,"UNKNOWN",9018,37119,0.242948355289744,"car_buy"
1,NA,247,1148,0.215156794425087,"car_buy"
1,"AIRAIK803",5,9,0.555555555555556,"csa"
1,"AIRAND864",8,27,0.296296296296296,"csa"
1,"AIRASH828",13,50,0.26,"csa"
1,"AIRAUG706",18,62,0.290322580645161,"csa"
1,"AIRBEA843",2,25,0.08,"csa"
1,"AIRCHA843",22,105,0.20952380952381,"csa"
1,"AIRCOL803",30,119,0.252100840336134,"csa"
1,"AIRELI252",2,5,0.4,"csa"
1,"AIRFLO843",7,16,0.4375,"csa"
1,"AIRGAF864",1,2,0.5,"csa"
1,"AIRGEO843",2,2,1,"csa"
1,"AIRGOL919",4,14,0.285714285714286,"csa"
1,"AIRGRE864",13,56,0.232142857142857,"csa"
1,"AIRGRN252",7,24,0.291666666666667,"csa"
1,"AIRGWD864",2,7,0.285714285714286,"csa"
1,"AIRHHI843",3,6,0.5,"csa"
1,"AIRHIC828",11,45,0.244444444444444,"csa"
1,"AIRJAC910",12,42,0.285714285714286,"csa"
1,"AIRKIN252",1,4,0.25,"csa"
1,"AIRMAR828",1,3,0.333333333333333,"csa"
1,"AIRMOR828",1,5,0.2,"csa"
1,"AIRMYR843",9,33,0.272727272727273,"csa"
1,"AIRNWB252",5,17,0.294117647058824,"csa"
1,"AIRORA803",2,9,0.222222222222222,"csa"
1,"AIRROA252",1,7,0.142857142857143,"csa"
1,"AIRROC252",4,23,0.173913043478261,"csa"
1,"AIRSAV912",9,46,0.195652173913043,"csa"
1,"AIRSPA864",7,28,0.25,"csa"
1,"AIRSUM803",6,18,0.333333333333333,"csa"
1,"AIRWIL910",8,50,0.16,"csa"
1,"AIRWIN252",1,6,0.166666666666667,"csa"
1,"APCANN443",12,44,0.272727272727273,"csa"
1,"APCBAL410",123,581,0.21170395869191,"csa"
1,"APCBEL443",2,10,0.2,"csa"
1,"APCEAS443",1,6,0.166666666666667,"csa"
1,"APCFCH703",233,1045,0.222966507177033,"csa"
1,"APCFRD301",15,56,0.267857142857143,"csa"
1,"APCFRE540",9,34,0.264705882352941,"csa"
1,"APCLEE703",7,28,0.25,"csa"
1,"APCSAL443",1,9,0.111111111111111,"csa"
1,"APCSIL301",216,914,0.236323851203501,"csa"
1,"APCSOL443",2,2,1,"csa"
1,"APCSVP443",18,67,0.26865671641791,"csa"
1,"APCWAL240",3,6,0.5,"csa"
1,"APCWAS202",100,463,0.215982721382289,"csa"
1,"APCWES443",1,5,0.2,"csa"
1,"ATHKIN423",3,11,0.272727272727273,"csa"
1,"ATLALB912",7,24,0.291666666666667,"csa"
1,"ATLANE678",143,647,0.221020092735703,"csa"
1,"ATLATH706",7,30,0.233333333333333,"csa"
1,"ATLATL678",125,658,0.189969604863222,"csa"
1,"ATLATN423",3,6,0.5,"csa"
1,"ATLBLY870",1,1,1,"csa"
1,"ATLBRU912",1,4,0.25,"csa"
1,"ATLCHA423",24,102,0.235294117647059,"csa"
1,"ATLCOL706",11,60,0.183333333333333,"csa"
1,"ATLDAL334",3,12,0.25,"csa"
1,"ATLDOT334",2,10,0.2,"csa"
1,"ATLDTN706",10,13,0.769230769230769,"csa"
1,"ATLJCK901",2,9,0.222222222222222,"csa"
1,"ATLKNO423",28,159,0.176100628930818,"csa"
1,"ATLLAG706",1,6,0.166666666666667,"csa"
1,"ATLMAC912",21,93,0.225806451612903,"csa"
1,"ATLMEM901",56,241,0.232365145228216,"csa"
1,"ATLNOR678",25,122,0.204918032786885,"csa"
1,"ATLOPE334",6,11,0.545454545454545,"csa"
1,"ATLOVB601",1,5,0.2,"csa"
1,"ATLROS678",30,97,0.309278350515464,"csa"
1,"ATLSWT423",1,3,0.333333333333333,"csa"
